"","decimalLatitude","decimalLongitude","year"
"1",-51.3568,-60.705,1989
"2",-56.516667,-68.633333,1990
"3",-56.516667,-68.633333,1990
"4",-51.2639,-59.8365,1990
"5",-51.3581,-60.6885,1992
"6",-52.4291,-59.0922,1992
"7",-52.4291,-59.0922,1992
"8",-55.975,-67.2789,1993
"9",-56.4815,-68.7236,1993
"10",-51.7379,-61.307,1994
"11",-51.7379,-61.307,1994
"12",-51.3568,-60.705,1994
"13",-51.2941,-60.5388,1994
"14",-51.0358,-61.2158,1994
"15",-51.2941,-60.5388,1994
"16",-51.7379,-61.307,1994
"17",-51.0358,-61.2158,1994
"18",-51.3568,-60.705,1994
"19",-51.2941,-60.5388,1995
"20",-55.9446,-67.2772,1995
"21",-51.7379,-61.307,1995
"22",-51.6907,-57.7846,1995
"23",-51.7635,-58.0704,1995
"24",-51.2941,-60.5388,1995
"25",-51.3568,-60.705,1995
"26",-52.4291,-59.0922,1995
"27",-51.7379,-61.307,1995
"28",-51.7379,-61.307,1995
"29",-51.2941,-60.5388,1995
"30",-51.2941,-60.5388,1996
"31",-56.4815,-68.7236,1996
"32",-51.3465,-60.7006,1997
"33",-51.3568,-60.705,1997
"34",-51.7379,-61.307,1997
"35",-51.2941,-60.5388,1997
"36",-51.4798,-57.8338,1998
"37",-51.6764,-57.8084,1998
"38",-55.9648,-67.225,1998
"39",-51.7379,-61.307,1998
"40",-52.574498,-59.108065,1999
"41",-52.2227,-58.8819,1999
"42",-54.8781,-68.6772,1999
"43",-54.8781,-68.6772,1999
"44",-51.3568,-60.705,1999
"45",-51.2941,-60.5388,1999
"46",-51.0358,-61.2158,1999
"47",-51.7379,-61.307,1999
"48",-51.6946,-57.8697,2000
"49",-52.4291,-59.0922,2000
"50",-51.7379,-61.307,2000
"51",-51.3568,-60.705,2000
"52",-52.4291,-59.0922,2000
"53",-52.4291,-59.0922,2000
"54",-51.2941,-60.5388,2000
"55",-51.3485,-60.6854,2000
"56",-51.7213,-61.3006,2000
"57",-52.4291,-59.0922,2000
"58",-51.7138,-61.3011,2000
"59",-51.0366,-61.2118,2000
"60",-51.7158,-61.3121,2000
"61",-51.7379,-61.307,2000
"62",-51.771466,-59.501953,2001
"63",-51.771466,-59.501953,2001
"64",-56.4815,-68.7236,2001
"65",-52.4291,-59.0922,2001
"66",-51.3568,-60.705,2001
"67",-54.9271,-67.259,2001
"68",-51.0358,-61.2158,2001
"69",-51.2941,-60.5388,2001
"70",-51.3568,-60.705,2002
"71",-51.727,-58.623,2002
"72",-51.2941,-60.5388,2002
"73",-51.7379,-61.307,2002
"74",-51.0358,-61.2158,2003
"75",-54.4546,-72.951,2003
"76",-54.4946,-73.0396,2003
"77",-56.434259,-68.664869,2003
"78",-52.4291,-59.0922,2003
"79",-51.7379,-61.307,2003
"80",-51.3568,-60.705,2004
"81",-51.3568,-60.705,2004
"82",-51.260878,-60.642958,2004
"83",-51.3568,-60.705,2004
"84",-51.2941,-60.5388,2004
"85",-51.0358,-61.2158,2004
"86",-51.7379,-61.307,2004
"87",-51.6957,-57.855,2004
"88",-51.2941,-60.5388,2004
"89",-54.8719,-67.9504,2004
"90",-51.2941,-60.5388,2004
"91",-51.2941,-60.5388,2004
"92",-51.7379,-61.307,2004
"93",-52.4291,-59.0922,2004
"94",-51.349052,-60.698006,2005
"95",-51.7379,-61.307,2005
"96",-56.4815,-68.7236,2005
"97",-56.4815,-68.7236,2005
"98",-51.7379,-61.307,2005
"99",-51.6764,-57.8084,2005
"100",-51.3568,-60.705,2005
"101",-55.9648,-67.225,2005
"102",-52.4462,-59.1144,2005
"103",-52.2227,-58.8819,2005
"104",-56.0782,-66.687,2005
"105",-55.9648,-67.225,2005
"106",-51.5224,-59.5239,2005
"107",-51.3568,-60.705,2005
"108",-51.2941,-60.5388,2005
"109",-52.4291,-59.0922,2006
"110",-54.2533,-72.621,2006
"111",-51.7379,-61.307,2006
"112",-51.2941,-60.5388,2006
"113",-51.2511,-60.5278,2006
"114",-51.3483,-60.6875,2006
"115",-51.642582,-61.364865,2006
"116",-52.4291,-59.0922,2006
"117",-52.433297,-59.042695,2006
"118",-55.9646,-67.2858,2006
"119",-52.4291,-59.0922,2006
"120",-51.2941,-60.5388,2006
"121",-51.273631,-60.555505,2006
"122",-54.7436,-69.9829,2006
"123",-52.4291,-59.0922,2006
"124",-51.662943,-57.832781,2006
"125",-51.231329,-60.643987,2006
"126",-55.0847,-66.8958,2006
"127",-51.016,-61.2405,2006
"128",-51.016,-61.2405,2006
"129",-52.4291,-59.0922,2006
"130",-51.7379,-61.307,2006
"131",-51.0358,-61.2158,2006
"132",-51.3568,-60.705,2006
"133",-51.0358,-61.2158,2006
"134",-51.2941,-60.5388,2006
"135",-54.811,-68.3212,2006
"136",-51.7122,-61.3032,2007
"137",-51.7379,-61.307,2007
"138",-51.67761,-60.072647,2007
"139",-51.3568,-60.705,2007
"140",-56.0782,-66.687,2007
"141",-51.7379,-61.307,2007
"142",-51.7379,-61.307,2007
"143",-51.7379,-61.307,2007
"144",-51.7379,-61.307,2007
"145",-51.7379,-61.307,2007
"146",-51.274027,-60.77849,2007
"147",-51.7379,-61.307,2007
"148",-51.3488,-60.6991,2007
"149",-51.3568,-60.705,2007
"150",-51.3527,-60.6838,2007
"151",-51.3521,-60.6849,2007
"152",-54.642744,-68.286006,2007
"153",-51.2941,-60.5388,2008
"154",-51.3274,-60.192,2008
"155",-51.7379,-61.307,2008
"156",-51.2941,-60.5388,2008
"157",-51.0358,-61.2158,2008
"158",-51.2941,-60.5388,2008
"159",-51.7379,-61.307,2008
"160",-51.253403,-60.230537,2008
"161",-51.31,-60.238,2008
"162",-51.2941,-60.5388,2008
"163",-51.3077,-60.2333,2008
"164",-51.3077,-60.2333,2008
"165",-51.31,-60.238,2008
"166",-51.7304,-61.3037,2008
"167",-51.3535,-60.6881,2008
"168",-51.2941,-60.5388,2008
"169",-51.2941,-60.5388,2008
"170",-51.3649,-60.694,2008
"171",-51.3365,-60.7239,2008
"172",-51.3486,-60.6849,2008
"173",-51.3486,-60.6849,2008
"174",-51.7379,-61.307,2008
"175",-51.7379,-61.307,2008
"176",-51.7379,-61.307,2008
"177",-51.7379,-61.307,2008
"178",-51.7379,-61.307,2008
"179",-51.7379,-61.307,2008
"180",-51.7379,-61.307,2008
"181",-51.7379,-61.307,2008
"182",-51.7379,-61.307,2008
"183",-51.7379,-61.307,2008
"184",-51.7379,-61.307,2008
"185",-51.7379,-61.307,2008
"186",-51.2811,-60.5647,2008
"187",-51.7379,-61.307,2008
"188",-51.3568,-60.705,2008
"189",-51.7379,-61.307,2008
"190",-51.7379,-61.307,2008
"191",-51.7379,-61.307,2008
"192",-51.7379,-61.307,2008
"193",-51.7379,-61.307,2008
"194",-51.3077,-60.2333,2009
"195",-51.2939,-60.5572,2009
"196",-51.3077,-60.2333,2009
"197",-51.2939,-60.5572,2009
"198",-51.2939,-60.5572,2009
"199",-51.2939,-60.5572,2009
"200",-51.3077,-60.2333,2009
"201",-51.3077,-60.2333,2009
"202",-51.2941,-60.5388,2009
"203",-51.2941,-60.5388,2009
"204",-51.3619,-60.0819,2009
"205",-51.6764,-57.8084,2009
"206",-51.7158,-61.3121,2009
"207",-51.7213,-61.3006,2009
"208",-51.686,-57.7633,2009
"209",-51.686,-57.7633,2009
"210",-51.3077,-60.2333,2009
"211",-51.3077,-60.2333,2009
"212",-51.2804,-60.5631,2009
"213",-51.7379,-61.307,2009
"214",-51.3521,-60.6857,2009
"215",-51.5955,-60.7197,2009
"216",-51.7379,-61.307,2009
"217",-51.7379,-61.307,2009
"218",-51.7379,-61.307,2009
"219",-51.7379,-61.307,2009
"220",-54.4673,-73.0138,2009
"221",-51.6706,-61.2399,2009
"222",-54.4901,-73.0265,2009
"223",-51.7714,-58.84,2009
"224",-51.7714,-58.84,2009
"225",-51.3568,-60.705,2009
"226",-51.7379,-61.307,2009
"227",-51.2941,-60.5388,2009
"228",-51.7379,-61.307,2009
